FileName,Diameter (m),Pitch (m),Path
ance_8.5x6,0.216,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\ance_8.5x6_static_2848cm.txt
ance_8.5x7,0.216,0.178,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\ance_8.5x7_static_2875cm.txt
apc29ff_9x4,0.229,0.102,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apc29ff_9x4_static_2534rd.txt
apc29ff_9x5,0.229,0.127,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apc29ff_9x5_static_kt1025.txt
apccf_7.4x8.25,0.188,0.21,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apccf_7.4x8.25_static_2883cm.txt
apccf_7.8x6,0.198,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apccf_7.8x6_static_2825cm.txt
apccf_7.8x7,0.198,0.178,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apccf_7.8x7_static_2833cm.txt
apce_10x5,0.254,0.127,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apce_10x5_static_pg0819.txt
apce_10x7,0.254,0.178,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apce_10x7_static_pg0811.txt
apce_11x10,0.279,0.254,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apce_11x10_static_pg0460.txt
apce_11x5.5,0.279,0.14,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apce_11x5.5_static_kt0467.txt
apce_11x7,0.279,0.178,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apce_11x7_static_kt0534.txt
apce_11x8.5,0.279,0.216,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apce_11x8.5_static_jb0452.txt
apce_11x8,0.279,0.203,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apce_11x8_static_kt0517.txt
apce_14x12,0.356,0.305,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apce_14x12_static_kt1063.txt
apce_17x12,0.432,0.305,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apce_17x12_static_jb1091.txt
apce_19x12,0.483,0.305,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apce_19x12_static_jb1078.txt
apce_8x4,0.203,0.102,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apce_8x4_static_2791rd.txt
apce_8x6,0.203,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apce_8x6_static_2797rd.txt
apce_8x8,0.203,0.203,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apce_8x8_static_2805rd.txt
apce_9x4.5,0.229,0.114,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apce_9x4.5_static_rd0995.txt
apce_9x6,0.229,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apce_9x6_static_rd0987.txt
apce_9x7.5,0.229,0.191,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apce_9x7.5_static_2545rd.txt
apce_9x9,0.229,0.229,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apce_9x9_static_2492rd.txt
apcsf_10x4.7,0.254,0.119,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsf_10x4.7_static_kt0835.txt
apcsf_10x7,0.254,0.178,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsf_10x7_static_kt0827.txt
apcsf_11x3.8,0.279,0.097,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsf_11x3.8_static_kt0542.txt
apcsf_11x4.7,0.279,0.119,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsf_11x4.7_static_pg0526.txt
apcsf_11x7,0.279,0.178,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsf_11x7_static_kt0632.txt
apcsf_8x3.8,0.203,0.097,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsf_8x3.8_static_2777rd.txt
apcsf_8x6,0.203,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsf_8x6_static_2783rd.txt
apcsf_9x3.8,0.229,0.097,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsf_9x3.8_static_2553rd.txt
apcsf_9x4.7,0.229,0.119,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsf_9x4.7_static_kt1032.txt
apcsf_9x6,0.229,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsf_9x6_static_kt0979.txt
apcsf_9x7.5,0.229,0.191,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsf_9x7.5_static_2567rd.txt
apcsp_10x10,0.254,0.254,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsp_10x10_static_2665rd.txt
apcsp_10x3,0.254,0.076,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsp_10x3_static_2643rd.txt
apcsp_10x4,0.254,0.102,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsp_10x4_static_2644rd.txt
apcsp_10x5,0.254,0.127,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsp_10x5_static_2651rd.txt
apcsp_10x6,0.254,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsp_10x6_static_pg0802.txt
apcsp_10x7,0.254,0.178,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsp_10x7_static_2654rd.txt
apcsp_10x8,0.254,0.203,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsp_10x8_static_pg0794.txt
apcsp_10x9,0.254,0.229,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsp_10x9_static_2664rd.txt
apcsp_11x3,0.279,0.076,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsp_11x3_static_3015ja.txt
apcsp_11x4,0.279,0.102,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsp_11x4_static_kt0503.txt
apcsp_11x5,0.279,0.127,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsp_11x5_static_rd0496.txt
apcsp_11x6,0.279,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsp_11x6_static_rd0488.txt
apcsp_11x7,0.279,0.178,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsp_11x7_static_kt0473.txt
apcsp_11x8,0.279,0.203,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsp_11x8_static_pg0616.txt
apcsp_11x9,0.279,0.229,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsp_11x9_static_pg0624.txt
apcsp_14x13,0.356,0.33,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsp_14x13_static_jb1048.txt
apcsp_7x6,0.178,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsp_7x6_static_2930cm.txt
apcsp_7x9,0.178,0.229,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsp_7x9_static_2897cm.txt
apcsp_8x10,0.203,0.254,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsp_8x10_static_2731rd.txt
apcsp_8x4,0.203,0.102,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsp_8x4_static_2681rd.txt
apcsp_8x5,0.203,0.127,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsp_8x5_static_2687rd.txt
apcsp_8x6,0.203,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsp_8x6_static_2696rd.txt
apcsp_8x7,0.203,0.178,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsp_8x7_static_2704rd.txt
apcsp_8x8,0.203,0.203,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsp_8x8_static_2712rd.txt
apcsp_8x9,0.203,0.229,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsp_8x9_static_2720rd.txt
apcsp_9x10,0.229,0.254,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsp_9x10_static_2513rd.txt
apcsp_9x6,0.229,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsp_9x6_static_2532rd.txt
apcsp_9x7,0.229,0.178,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsp_9x7_static_kt1009.txt
apcsp_9x8,0.229,0.203,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsp_9x8_static_2530rd.txt
apcsp_9x9,0.229,0.229,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\apcsp_9x9_static_2504rd.txt
grcp_10x6,0.254,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\grcp_10x6_static_rd0851.txt
grcp_10x8,0.254,0.203,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\grcp_10x8_static_rd0843.txt
grcp_11x4,0.279,0.102,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\grcp_11x4_static_rd0550.txt
grcp_11x6,0.279,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\grcp_11x6_static_rd0556.txt
grcp_11x8,0.279,0.203,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\grcp_11x8_static_kt0641.txt
grcp_9x4,0.229,0.102,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\grcp_9x4_static_rd0923.txt
grcp_9x6,0.229,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\grcp_9x6_static_pg0915.txt
grcsp_10x6,0.254,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\grcsp_10x6_static_jb0867.txt
grcsp_10x8,0.254,0.203,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\grcsp_10x8_static_jb0859.txt
grcsp_9x5,0.229,0.127,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\grcsp_9x5_static_kt0958.txt
grcsp_9x6,0.229,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\grcsp_9x6_static_pg0945.txt
grsn_10x6,0.254,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\grsn_10x6_static_rd0779.txt
grsn_10x7,0.254,0.178,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\grsn_10x7_static_rd0787.txt
grsn_11x10,0.279,0.254,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\grsn_11x10_static_2996os.txt
grsn_11x6,0.279,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\grsn_11x6_static_rd0665.txt
grsn_11x7,0.279,0.178,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\grsn_11x7_static_2988os.txt
grsn_11x8,0.279,0.203,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\grsn_11x8_static_rd0657.txt
grsn_9x4,0.229,0.102,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\grsn_9x4_static_2575rd.txt
grsn_9x5,0.229,0.127,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\grsn_9x5_static_rd0929.txt
grsn_9x6,0.229,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\grsn_9x6_static_2577rd.txt
grsn_9x7,0.229,0.178,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\grsn_9x7_static_rd0936.txt
gwsdd_10x6,0.254,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\gwsdd_10x6_static_jb0712.txt
gwsdd_11x7,0.279,0.178,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\gwsdd_11x7_static_jb0570.txt
gwsdd_9x5,0.229,0.127,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\gwsdd_9x5_static_jb1002.txt
gwssf_10x4.7,0.254,0.119,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\gwssf_10x4.7_static_jb0875.txt
gwssf_10x8,0.254,0.203,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\gwssf_10x8_static_jb0880.txt
gwssf_11x4.7,0.279,0.119,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\gwssf_11x4.7_static_jb0563.txt
gwssf_11x8,0.279,0.203,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\gwssf_11x8_static_kt0649.txt
gwssf_8x4.3,0.203,0.109,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\gwssf_8x4.3_static_2869rd.txt
gwssf_8x6,0.203,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\gwssf_8x6_static_2862rd.txt
gwssf_9x4.7,0.229,0.119,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\gwssf_9x4.7_static_kt0965.txt
gwssf_9x7,0.229,0.178,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\gwssf_9x7_static_kt0972.txt
kavfk_11x6,0.279,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\kavfk_11x6_static_2972rd.txt
kavfk_11x7.75,0.279,0.197,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\kavfk_11x7.75_static_2979os.txt
kavfk_9x4,0.229,0.102,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\kavfk_9x4_static_2591rd.txt
kavfk_9x6,0.229,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\kavfk_9x6_static_2592rd.txt
kyosho_10x6,0.254,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\kyosho_10x6_static_jb0762.txt
kyosho_10x7,0.254,0.178,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\kyosho_10x7_static_rd0770.txt
kyosho_11x7,0.279,0.178,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\kyosho_11x7_static_kt0704.txt
kyosho_11x9,0.279,0.229,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\kyosho_11x9_static_rd0606.txt
kyosho_9x6,0.229,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\kyosho_9x6_static_jb1039.txt
mae_10x7,0.254,0.178,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\mae_10x7_static_jb0754.txt
mae_11x7,0.279,0.178,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\mae_11x7_static_rd0577.txt
mae_9x6,0.229,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\mae_9x6_static_kj1017.txt
magf_10x6,0.254,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\magf_10x6_static_pg0728.txt
magf_10x8,0.254,0.203,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\magf_10x8_static_pg0719.txt
magf_11x4,0.279,0.102,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\magf_11x4_static_3021tg.txt
magf_11x5,0.279,0.127,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\magf_11x5_static_3027tg.txt
magf_11x8,0.279,0.203,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\magf_11x8_static_3033tg.txt
magf_7x4,0.178,0.102,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\magf_7x4_static_2911cm.txt
magf_8x4,0.203,0.102,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\magf_8x4_static_2891rd.txt
magf_9x4,0.229,0.102,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\magf_9x4_static_2586rd.txt
magf_9x5,0.229,0.127,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\magf_9x5_static_2587rd.txt
magf_9x7,0.229,0.178,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\magf_9x7_static_2590rd.txt
mas_10x5,0.254,0.127,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\mas_10x5_static_kt0745.txt
mas_10x7,0.254,0.178,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\mas_10x7_static_kt0737.txt
mas_11x6,0.279,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\mas_11x6_static_kt0696.txt
mas_11x7,0.279,0.178,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\mas_11x7_static_jb0680.txt
mas_11x8,0.279,0.203,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\mas_11x8_static_rd0672.txt
mas_9x5,0.229,0.127,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\mas_9x5_static_pg0900.txt
mas_9x6,0.229,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\mas_9x6_static_2634rd.txt
mas_9x7,0.229,0.178,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\mas_9x7_static_pg0907.txt
ma_11x10,0.279,0.254,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\ma_11x10_static_3050rd.txt
ma_11x4,0.279,0.102,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\ma_11x4_static_rd0593.txt
ma_11x6,0.279,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\ma_11x6_static_kt0689.txt
ma_11x7,0.279,0.178,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\ma_11x7_static_rd0586.txt
ma_11x8,0.279,0.203,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\ma_11x8_static_pg0598.txt
ma_11x9,0.279,0.229,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\ma_11x9_static_3041ja.txt
ma_9x4,0.229,0.102,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\ma_9x4_static_rd0894.txt
ma_9x6,0.229,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\ma_9x6_static_rd0886.txt
